Author,Title,Text,Language,External Links,Mentioned Persons (positive),Mentioned Persons (negative),Mentioned Persons (neutral),Mentioned Persons (none),Mentioned Locations,Mentioned Organizations (positive),Mentioned Organizations (negative),Mentioned Organizations (neutral),Mentioned Organizations (none),Thread Link,Title,Section Link,Section Title,Thread Publication Date,Comments Count,Participants Count,Site Type,Site Name,Site Country,Main Image,Performance Score,Rating
Katherine May,"Man Wearing Clown Makeup, Bladed Gloves Accused of Killing a Man Outside Taco Restaurant - Breitbart","Man Wearing Clown Makeup, Bladed Gloves Accused of Killing a Man Outside Taco Restaurant Denver Police Department by Katherine Rodriguez 24 May 2017 0 
24 May, 2017 24 May, 2017 SIGN UP FOR OUR NEWSLETTER
A man wearing clown makeup and spiked gloves is accused of stabbing a man to death outside a taco restaurant in Denver. Christian Lee Gulzow, 36, was arrested and charged with first-degree murder for allegedly stabbing Brian Lucero, 29, to death, the Denver Post reported.
Gulzow allegedly attacked Lucero outside Torchy’s Tacos on West 11th Avenue and Broadway after he got into an argument with the victim.
Lucero died of a stab wound, according to the Denver coroner’s office.
Witnesses say a man wearing white clown makeup with black streaks on his face threatened the victim with his bladed glove outside a convenience store.
Police say the blades on each finger of the glove were two-to-three inches in length.
The victim tried to dodge Guzlow’s punches until the victim punched the suspect, according to a police report. The suspect reportedly yelled at the victim, the victim ran down an alley, and the suspect followed him to Torchy’s.
Police later found the victim in the parking lot of the taco restaurant with his throat stabbed, KTLA reported. The victim later died at a hospital.
Police used surveillance footage to track down a man riding a scooter who matched the suspect’s description and saw the man throw something into the bushes.
They later discovered that the object was a knife, according to the police report.
Police found the man, whom they identified as Guzlow, covered in blood and took him into custody.
Guzlow told police that Lucero threatened him, attacked him, and stole his scooter, according to court records.
The suspect said Lucero may have fallen onto one of his spiked wrist bracelets and that he may have cut him while he used his “clawed glove” to jab him, according to Guzlow’s account of the incident to police.
VICE reports that Guzlow is a local death metal vocalist who posts videos and photos of himself wearing makeup and gloves with pointed fingertips online, which match witnesses’ descriptions of the man who allegedly murdered Lucero.
Guzlow’s extensive criminal history includes convictions for domestic violence, assault, and using deadly weapons.
  Big Government , Law Enforcement , Pre-Viral , bladed gloves , Brian Lucero , Christian Lee Guzlow , clown makeup , Colorado , Crime , Denver , First-Degree Murder , stab wounds , Torchy's Tacos",english,,,"breitbart , katherine rodriguez , ",,"christian lee gulzow , lucero , guzlow , brian lucero , gulzow , ","broadway , denver , ",,,,"denver post , ktla , facebook , facebook page , ",http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUUdI2T6_wmwcA1MUyje5QSXubYe8WhCDtV.u5J6ojJLeRA1GjOlw9ixocv8zp658Pcz97_vUKo0xvpMiSDdyQbAk9D83FJzL101tJWwYlP4hDc.6vq_M7rZ.Hk9Ja5yQGEbVqw4NN5uebcJNrnq8lHA--,"Man Wearing Clown Makeup, Bladed Gloves Accused of Killing a Man Outside Taco Restaurant - Breitbart",,,2017-05-25T07:06:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/05/Christian-Lee-Gulzow-Denver-pd.jpg,0,
Charlie Spiering,Trump Meets with French President Macron to Discuss Terrorist Threat,"by Charlie Spiering 25 May 2017 0 25 May, 2017 25   President Donald Trump met with the newly elected French President Emmanuel Macron on Thursday, to discuss the shared goal of fighting terrorism. 
The two leaders met in Brussels, ahead of a NATO summit that will occur later today. 
Trump praised Macron for running “an incredible campaign” which led to “a tremendous victory.” 
“All over the world they’re talking about it,” he said. 
Macron said that he looked forward to discussing not only terrorism, but economic issues, climate change, and energy. 
“The occasion of the NATO summit also allows us to have a first meeting, and I am very happy to be able to change many things together,” he said, according to a translator. 
The two leaders shared a lengthy firm handshake, which sparked buzz on social media as reporters noted that both of the leaders had “white knuckles” as it continued. 
— Amanda Wills (@AmandaWills) May 25, 2017 Read More Stories About: 
Comment count on this article reflects comments made on Breitbart.com and Facebook. Visit Breitbart's Facebook Page . BREITBART CONNECT Sign Up For Our Newsletter MOST POPULAR",english,,,"macron , ",,,,,"trump , ",,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUUdI2T6_wmwcA1MUyje5QSXubYe8WhCDt7sDJWHZlZ0bGoYNq19hs..38BcB7lgN0KIbuwVJnv7wwenh2GQG6umfFfDdzaof2aLxkOW8dcmFI_lVuXIzbNT8qFQj_lMP5X9At3GJY7RY-,Trump Meets with French President Macron to Discuss Terrorist Threat,http://www.breitbart.com,Breitbart News,2017-05-25T21:37:00.000+03:00,0,1,blogs,breitbart.com,US,,0,
Katherine Rodriguez,Man Who Falsely Claimed to Be a Navy SEAL Sentenced to Four Years Behind Bars,"Man Who Falsely Claimed to Be a Navy SEAL Sentenced to Four Years Behind Bars REUTERS/GERALD HERBERT by Katherine Rodriguez 25 May 2017 0 
25 May, 2017 25 May, 2017 SIGN UP FOR OUR NEWSLETTER
A Wisconsin man who falsely claimed to be a Navy SEAL who served in Vietnam and was wounded four times has been sentenced to four years behind bars. Kenneth E. Jozwiak, 68, pleaded guilty to theft, faking paperwork in order to obtain benefits meant for veterans, obstruction of justice, and lying to investigators, the San Diego Union-Tribune reported.
Prosecutors say Jozwiak submitted a false discharge certificate saying he served as a Navy SEAL from 1965 to 1968, receiving Bronze Star and Purple Heart awards for his service.
The U.S. Attorney’s Office for the northern district of Ohio, however, said all the awards, including the four Purple Heart awards for injuries suffered in combat, were false.
Jozwiak did serve in the military, but he only served one year- from 1967 to 1968- out of a four-year enlistment and did not serve overseas.
Jozwiak has a lengthy rap-sheet that includes over 120 convictions related to theft since 1975, according to Assistant U.S. Attorney David Toepfer.
Toepfer said Jozwiak went to great lengths to promote this falsehood.
“He was particularly public in how he did it,” Toepfer said. “He went as far as accompanying a child to an elementary school and representing himself as a Navy SEAL there and as having received all of these awards.”
Court documents say it was his stepson’s school. Toepfer said the event was similar to a “take a veteran to school” event.
Before the VA inspector general investigated, Jozwiak received nearly $2,300 in VA pension benefits in 2014.
“I never used that for anything, nothing. Never have,” Jozwiak said when investigators confronted him with the false paperwork, according to the grand jury indictment.
Jozwiak is not the only person who has faked his military service to get benefits.
Earlier in May, a former southern California Marine was sentenced to 21 months in prison for faking a combat injury and falsely claiming that he was awarded a Purple Heart.
The problem has become so widespread, that one filmmaker decided to create a film exposing the problem called “Stealing Valor,” which will be screened at the GI Festival in Washington, D.C. on May 28.
  Big Government , Law Enforcement , Pre-Viral , Bronze Star , convicted , Crime , false combat injuries , Fraud , Kenneth E. Jozwiak , Navy SEAL , prison sentence , Purple Heart , Theft , wisconsin",english,,,,,,"baghdad , iraq , ",,"navy , ",,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUUdI2T6_wmwcA1MUyje5QSXubYe8WhCDtqdt4xJzEs0m3uOk37OM.CKKOZzDhGiHyQohdzvKCrImLqq_30K5lk02Lux9nx2edwQ0xGQT.rxZBcSOCosL09sraqwRbOv7ZoUb9EaGUajQpxY25PILrEA--,Man Who Falsely Claimed to Be a Navy SEAL Sentenced to Four Years Behind Bars,http://www.breitbart.com,Breitbart News,2017-05-25T16:16:00.000+03:00,0,1,blogs,breitbart.com,US,,0,
Bob Price,Dad Busted after 9-Year-Old Daughter Searches Porn on ‘What He Did to Me’,"Dad Busted after 9-Year-Old Daughter Searches Porn on ‘What He Did to Me’ Photo: Bexar County Sheriff's Office by Bob Price 25 May 2017 San Antonio, TX 0 
25 May, 2017 25  
A father in San Antonio, Texas, is in the Bexar County jail after his daughter was caught researching porn on the internet at her school. She said she was researching “what her dad does to her at night.” Bexar County sheriff’s deputies arrested 31-year-old Anthony Garay after his nine-year-old daughter told officials at Elk Elementary School her father had been sexually abusing her for over a year. Teachers at her school caught her looking up pornography on one of the school’s iPads. When they asked what she was doing, the little girl replied she was searching for “what her dad does to her at night.” She said her father never lets her sleep, the Daily Mail reported .
School officials immediately contacted child services who then interviewed the girl. Officials contacted police who investigated and obtained a warrant for his arrest.
Investigators reported the girl said Garay sexually assaults her “all the time at night,” the San Antonio Express-News reported . They said the man has also been allegedly sexually assaulting the little girl’s sister as well. The local newspaper did not report the relationship between Garay and the two girls. They referenced the man as “a relative.”
Reports indicate CPS investigated the San Antonio man previously for “sexual abuse of two relatives,” the Express-News reported.
Bob Price serves as associate editor and senior political news contributor for Breitbart Texas. He is a founding member of the Breitbart Texas team. Follow him on Twitter @BobPriceBBTX and Facebook .

 
  Breitbart Texas , Pre-Viral , Bexar County Sheriff's Office , sexual assault of a child",english,,,,,,"bexar county , san antonio , texas , ",,,,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUCQ9.Afj5mqv3HCdcXiMhOIbhWWflXIeyh6cIXhFdNR_gxNTFQgUCDoWUWXVL9tz4IlSHF8NSVT4paceW6ffYtg--,Dad Busted after 9-Year-Old Daughter Searches Porn on ‘What He Did to Me’,http://www.breitbart.com,Breitbart News,2017-05-25T22:27:00.000+03:00,0,1,blogs,breitbart.com,US,,0,
Bob May,"Border Patrol Agent Died after Being Stabbed by Cartel Member, Says DHS Secretary Kelly","Border Patrol Agent Died after Being Stabbed by Cartel Member, Says DHS Secretary Kelly Photo: U.S. Customs and Border Protection by Bob Price 25 May 2017 0 
25 May, 2017 25 May, 2017 SIGN UP FOR OUR NEWSLETTER
A Tweet quotes Department of Homeland Security Secretary John F. Kelly saying a Border Patrol agent died last night after being stabbed in the face by a cartel member. Huffington Post politics and immigration reporter Elise Foley Tweeted on Thursday, “DHS Secretary John Kelly says a CBP officer died last night after being stabbed in the face by a cartel member.”
DHS Secretary John Kelly says a CBP officer died last night after being stabbed in the face by a cartel member.
— Elise Foley (@elisefoley) May 25, 2017 

This was followed shortly by a Tweet from U.S. Customs and Border Protection’s Twitter account stating that Border Patrol Agent Isaac Morales had died. “CBP mourns the loss of USBP Agent Isaac Morales. Our thoughts are with his family, friends, and fellow agents during this difficult time—KM,” the Tweet states.
CBP mourns the loss of USBP Agent Isaac Morales. Our thoughts are with his family, friends, and fellow agents during this difficult time—KM pic.twitter.com/GKSkN2UQf3 
— CBP (@CustomsBorder) May 25, 2017 

A statement from the El Paso Police Department obtained by Breitbart Texas states the incident began on May 20 when off-duty Agent Morales and his girlfriend walked to their car from a bar they attended. The suspect, later identified as Hisaias Justo Lopez, 39, walked up to the couple, and another couple they were walking with and began an unprovoked confrontation. Morales identified himself to Lopez as a Border Patrol agent. The suspect then pulled a knife and stabbed Morales, Sgt. Enrique Carrillo wrote in a statement. Lopez reportedly fled and Morales pursued him, along with his friend and other witnesses.
Suddenly, Lopez turned and stabbed Morales in the face, Carillo stated. Witnesses eventually tackled Lopez and held him for police.
Emergency medical personnel transported Morales to an area hospital where they listed him in critical condition. Morales died from his wounds on Thursday.
Jail officials told Breitbart Texas Lopez is a U.S. citizen, born in Modesto, California.
Lopez is being held in the El Paso County Detention Facility on a $2 million bond, officials stated. He is charged with murder. Officials stated Lopez is being held in an isolation cell, meaning he is in lockdown 23 hours per day.
Breitbart Texas reached out to Lopez’ attorney, Robert Ramos, for comment. A person in Ramos’ office stated the attorney will not make a comment regarding his client.
“Agent Morales entered on duty with the U.S. Border Patrol February 18, 2008 as a member of border patrol academy class 749,” CBP officials wrote in a statement published by KVIA ABC7 in El Paso. “Please join the Border Patrol in offering condolences to the family, friends and co-workers of Agent Isaac Morales as they cope with this loss. We ask our community to keep Agent Morales’s loved ones in their thoughts and prayers during the difficult days ahead.”
CBS4 in El Paso captured police and Border Patrol officers and agents escorting the body of Agent Morales from the hospital.

Officials with the National Border Patrol Council Local 3307 Tweeted a statement of condolence following the loss of a fellow agent. “Our hears are heavy as we morun the loss of BP Agent Isaac Morales, may he rest in peace,” the Rio Grande Valley Sector union Tweeted.
Our hearts are heavy as we mourn the loss of BP Agent Isaac Morales, may he rest in peace https://t.co/dpPQ1wkIij via @elpasotimes 
— BORDER PATROL RGVTX (@rgv3307) May 25, 2017 

This is a developing story and will be updated as more information becomes available.
Bob Price serves as associate editor and senior political news contributor for Breitbart Texas. He is a founding member of the Breitbart Texas team. Follow him on Twitter @BobPriceBBTX and Facebook . 
  Big Government , Border , Breitbart Texas , #BlueLivesMatter , Agent Isaac Morales , U.S. Border Patrol",english,,,"kelly , ",,"lopez , isaac morales , breitbart , hisaias justo lopez , carillo , — elise foley , breitbart texas , john kelly , ramos , john f. kelly , morales , robert ramos , elise foley , breitbart , bob price , enrique carrillo , ","u.s. , ",,"cartel , dhs , ",,"el paso county detention facility , border protection , breitbart texas , huffington post , cbp , customs , department of homeland security , border patrol , facebook , u.s. customs , el paso police department , facebook page , ",http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUCQ9.Afj5mqv3HCdcXiMhOAUlbATqMPU2rfi5vvElcJDGSo7AYnXeFsfZoO_6MObAfJmoR0Tuk92_ibf4AvyTA_OAPzxZjxQFxHiD3qViayjjroXdTWI7D9KLaL_kVYuAfA0CUxNfh_s-,"Border Patrol Agent Died after Being Stabbed by Cartel Member, Says DHS Secretary Kelly",,,2017-05-25T19:04:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/05/USBP-Agent-Isaac-Morales.png,0,
Thomas D. Williams,Melania Trump Is First Catholic to Live in White House Since JFK,"Melania Trump Is First Catholic to Live in White House Since JFK Screen shot by Thomas D. Williams, Ph.D. 25 May 2017 0 
25 May, 2017 25 May, 2017 SIGN UP FOR OUR NEWSLETTER
After Melania Trump met with Pope Francis in the Vatican Wednesday, her spokeswoman confirmed that the First Lady is indeed a Roman Catholic, the first to occupy her post since Jackie Kennedy. The last time the United States had a Catholic as First Lady was during the presidency of John F. Kennedy, whose wife Jackie Kennedy—like him—was a Roman Catholic. When Melania moves into the White House together with their son Barron this summer, she will become the first Catholic occupant of the White House since the Kennedy era.
On meeting the Pope Wednesday, Melania asked him to bless her rosary and later visited the Bambin Gesù (Baby Jesus) pediatric hospital, where she met with young patients and their families, prayed in a chapel and laid flowers at the feet of a statue of the Virgin Mary.

Later that day, the First Lady’s spokeswoman Stephanie Grisham confirmed to DailMail.com that Melania is a practicing Catholic.
Having grown up in Slovenia, then part of the Communist and officially atheist Soviet bloc, it is unclear when Melania was baptized a Catholic. President Trump is a life-long Presbyterian, and he and Melania were married in a Palm Beach Florida Episcopal church.
Melania’s father was a nominal member of the Communist Party in order to be able to obtain employment.
In February, Melania kicked off a presidential rally in Melbourne, Florida, by reciting the Lord’s Prayer, beginning with the typical Catholic invocation “Let us pray.”
The first lady later tweeted about the development with the hashtags “#Blessings” and “#Faith.” In another tweet, she sent “blessings to all” after her audience with the pontiff, which she described as an “honor” she will never forget.
Today’s visit with His Holiness Pope Francis @Pontifex is one I’ll never forget. I was humbled by the honor. Blessings to all. pic.twitter.com/NiomkFQqJb 
— Melania Trump (@FLOTUS) May 24, 2017 

Mrs. Trump told Pope Francis at the Vatican that she was looking forward to going to the hospital “for the bambinos,” a visit she later described as “very moving.”
“To spend time speaking to and coloring with children who have such a positive spirit despite illness was an amazing gift,” she said.
“The time I spent with the little ones in the Intensive Care Unit is something I will never forget, and I will pray for each of them daily,” she said.
Follow Thomas D. Williams on Twitter Follow @tdwilliamsrome 
  Big Government , Faith , Bambin Gesù hospital , Catholic , Jackie Kennedy , JFK , Kennedy White House , Melania Trump , Pope Francis , Presbyterian , President Donald Trump , Slovenia , Vatican",english,,,,,,,,,,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUUdI2T6_wmwcA1MUyje5QSXubYe8WhCDt.u6ItcTo8FAfk0JOLnrNx5Y4JdzCoZej99EK5_hiEIJe360bUH7STOzhSSipUj9556qxV8rT.o5Stzq0xYbwLxkrQsb7OifX,Melania Trump Is First Catholic to Live in White House Since JFK,,,2017-05-25T17:06:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/05/Melania-Pope-rosary.jpg,0,
Merrill May,Texas Governor Signs Law to Crackdown on Teacher Sex Misconduct,"Texas Governor Signs Law to Crackdown on Teacher Sex Misconduct AP Photo/Stephen Spillman by Merrill Hope 25 May 2017 Austin, TX 0 25 May, 2017 25 May, 2017 SIGN UP FOR OUR NEWSLETTER Texas Governor Greg Abbott signed a bill into law Thursday that crack downs on the vexing epidemic of sexual misconduct by the state’s teachers with students. 
“Unfortunately, a small number of teachers are tarnishing the image of some of our best and brightest teachers,” said Abbott at a signing ceremony in the State Capitol building flanked by several key legislators, notably Senator Paul Bettencourt (R-Houston), who authored this piece of legislation, Senate Bill 7 , and has called the eight-plus year upward surge in these improper teacher-student relationships a statewide plague . 
“Texas has racked up a dubious ranking, a ranking that has an incredibly high number of inappropriate teacher-student relationships,” added Abbott. “Today, by signing this law, we’re saying no more are we going to allow that to happen.” 
Abbott continued onto say that under S.B. 7 Texas is “going to impose real and stiff consequences for any teacher who dares to have an inappropriate relationship with one of his or her students.” 
The Governor expressed dismay that “unbelievably” some of these purported teacher sex offenders against whom accusations are made and cases even proven “have faced no real consequences.” 
This law mandates the automatic revocation of a teaching license when an educator receives deferred adjudication or must register as a sex offender for this abhorrent behavior. It may also result in jail time. S.B. 7 also holds principals and superintendents to account with fines and jail time when they look the other way and purposely fail to report teacher wanton misdeeds to the Texas Education Agency (TEA). Even an administrator’s unintentional failure to report sexual misconduct results in a $500 fine. 
S.B. 7 also criminalizes when an educator becomes romantically involved with a student under 18 years old, regardless of what school district the teacher works or where a student attends classes, which, until now, was not an offense. While the law does not not name a particular curriculum, it requires that teachers attend an ongoing percentage of professional development classes to ensure they maintain “appropriate relationships, boundaries, and communications between educators and students.” 
Abbott concluded: “I am proud to sign S.B. 7 to restore the trust that should exist between teachers and students, and also between parents and teachers to ensure that our schools remain a place where a child can go into that school with excitement to explore, to learn and to advance.” 
Breitbart Texas reported that, since 2008, the number of these cases opened by the Educator Investigations Unit of the Texas Education Agency (TEA) jumped 80 percent to an alarming all time high of 222 reported incidences in the 2015-16 school year. So startling the numbers, the TEA asked state lawmakers to fund nearly $400,000 in their 2018-19 academic budget for hiring two investigators and one administrator to better tackle the problem. The agency opened 159 new cases between September 1, 2016 and March 31, 2017; they estimated a 65 percent increase in these improper teacher-student sexual interludes statewide from April 2015 to April 2017. 
At the signing ceremony, Abbott thanked Bettencourt for his leadership. Also present were Education Commissioner Mike Morath; Representative Tony Dale (R-Round Rock), who authored companion House legislation plus two adopted S.B. 7 amendments; and Lt. Governor Dan Patrick, who named this issue one of his top 10 legislative priorities for the state’s 85th Legislature. During the interim session, Patrick charged Senate Education Committee members with developing policy solutions for this troubling problem. Representative Gary VanDeaver (R-New Boston) attended in the place of the bill’s House sponsor Ken King (R-Canadian). 
S.B. 7 has been among the few education related bills both chambers agreed upon, passing unanimously through the Senate and the House. 
Following the signing ceremony, Bettencourt commented, “It is very clear that the scourge of teachers preying on students for sexual relationships will not be tolerated.” 
He thanked Abbott for signing the bill and Patrick plus his fellow legislators for their full support. “It’s time for inappropriate teacher-student relationships to be stamped out.” 
This law goes into effect on September 1. 
Follow Merrill Hope, a member of the original Breitbart Texas team, on Twitter . Read More Stories About: 
Comment count on this article reflects comments made on Breitbart.com and Facebook. Visit Breitbart's Facebook Page . BREITBART CONNECT Sign Up For Our Newsletter MOST POPULAR ",english,,,,,,,,,,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUCQ9.Afj5mqv3HCdcXiMhOCxdKjiOajbz3fGSYTi8Y_lDnguqla6fpDp3UMOAvJ.MFvzyORTGEX6n566qYH_Vz.ULA_Wd8mDUI_I3p.oBIKs-,Texas Governor Signs Law to Crackdown on Teacher Sex Misconduct,,,2017-05-25T20:24:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/02/AP_17031732699135.jpg,0,
Donna Rachel May,Manchester Bomber Was Repeatedly Reported to Authorities Over Five Years,"Manchester Bomber Repeatedly Reported to Authorities over Five Year Period OLI SCARFF/AFP/Getty Images by Donna Rachel Edmunds 25 May 2017 0 25 May, 2017 25 May, 2017 SIGN UP FOR OUR NEWSLETTER The police and security services missed at least five opportunities over five years to stop Salman Abedi from carrying out his deadly terror attack, it has emerged. 
Following the deadly attack at the Manchester Arena by Abedi on Tuesday night, which claimed 22 lives, questions are being raised as to why the British authorities did little to follow up on repeated reports from friends and community members that Abedi was radicalised and had expressed support for suicide bombing. 
The reports date back five years, when two youth workers are said to have phoned an anti-terrorism hotline to report concerns over Adebi’s “extreme views” whilst he was completing his last year at school, the BBC has reported. 
Two of Abedi’s friends were also so concerned about his behaviour that they separately phoned the hotline, five years ago, and again in 2016. 
“They had been worried that ‘he was supporting terrorism’ and had expressed the view that ‘being a suicide bomber was ok’,” a source told the BBC. 
Mohammed Shafiq, chief executive of the Ramadhan Foundation, told The Telegraph that community members also reported Abedi to the authorities two years ago “because he thought he was involved in extremism and terrorism”. 
“People in the community expressed concerns about the way this man was behaving and reported it in the right way using the right channels,” Shafiq said. 
“They did not hear anything since.” 
Akram Ramadan, 49, a member of the south Manchester Libyan community where Abedi lived, said that Abedi had been banned from Didsbury Mosque after he confronted an imam who had delivered a sermon opposing extremism. 
Didsbury Mosque has confirmed that, following the incident, it contacted the Home Office’s Prevent anti-radicalisation programme to flag Abedi as a possible extremist. 
Mr. Ramadan said he believed that that report led to Abedi being placed on a watch list, yet he was allowed to travel to Libya and Syria repeatedly, before returning to Manchester to carry out his deadly plot. 
Last night Home Secretary Amber Rudd admitted that Abedi had been known to the British security services, whilst U.S. intelligence has confirmed he was also known to them. 
France’s interior minister has said Abedi had “proven” links with Islamic State, and that both French and British intelligence had information that he had been to Syria. 
But Frank Gardner, the BBC’s security correspondent, told Radio 4’s Today the opportunities were missed because the threat is so widespread. 
“This comes down to numbers,” Gardner said. “If they told us how many people had these extreme views just across the UK we wouldn’t sleep at night. It’s in the thousands. 
“They haven’t got the ‘watchers’ – they haven’t got the capability to follow all of those people, so they have to go where they think the danger is the most imminent and the most serious.” 
A security source told Sky News: “MI5 are working on 500 active investigations involving some 3,000 subjects of interest at any one time. Abedi was one of a larger pool of former subjects of interest whose risk remained subject to review by MI5 and its partners.” 
“Where former subjects of interest show known risks of re-engaging in terrorism, MI5 can consider reopening the investigation. This process relies on inevitable difficult judgements based on partial information,” the statement added. 
Eight arrests have now been made in connection to the plot, but police have admitted that with each arrest and new location discovered, the web of involvement widens. Just over 36 hours in, the investigation is already being described as “vast”. Read More Stories About: 
Comment count on this article reflects comments made on Breitbart.com and Facebook. Visit Breitbart's Facebook Page . BREITBART CONNECT Sign Up For Our Newsletter MOST POPULAR",english,,,,,,,,,,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUfis4fUH48bzKsbS.LXQDcSMoxPiO2W1ioiFBgGcZNJEHTqWyK06rkesDM76.39YAYH3ZGW0.BgB_I5iJmsLt5WSE9QI7AwCH_GPNoD8_02z7naRhDqyhmQ--,Manchester Bomber Was Repeatedly Reported to Authorities Over Five Years,,,2017-05-25T14:54:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/05/GettyImages-687607336-1.jpg,0,
Penny May,First Lady Melania Trump Boosts Tourism in Her Home Country,"First Lady Melania Trump Boosts Tourism in Her Home Country Jack Taylor/Getty by Penny Starr 25 May 2017 0 
25 May, 2017 25 May, 2017 SIGN UP FOR OUR NEWSLETTER
Melania Trump smiles at passersby on a highway in Sevnica, Solvenia that reads “Welcome to the Hometown of First Lady” — a billboard that represents more than a celebration of its most famous citizen. The number of tourists in Slovenia rose by 8 percent year-on-year in March, with tourists booking overnight stays jumping a whopping 30.6 percent and tourists visiting by 22.5 percent, CNBC reported using data from the government’s statistics office.
“Analysts said domestic tourist figures reflected improved economic conditions in Slovenia, a country which narrowly avoided an international bailout for its banks in 2013 but expects economic growth of 3.6 percent this year versus 2.5 percent in 2016,” CNBC reported.
The unemployment rate also has improved — although no direct connection to the first lady is implicated — from 12 percent in March 2016 to 10.2 percent in March 2017.
In April the central European nation of Slovenia celebrated a milestone, CNN reported , at a time when one of its own will be living in the White House after First Son Barron Trump finishes the school year in New York.
Slovenian Ambassador to the United States Dr. Božo Cerar commemorated the 25th anniversary of U.S. recognition of the European nation by planting a Linden tree in the National Arboretum in Washington, D.C.
“Slovenians are ‘very proud’ that Trump is first lady, Cerar told CNN recently. “She has helped the nation’s visibility considerably, he said, noting that Americans no longer mix his country up with Slovakia, a ‘huge improvement.’”
  Big Government , Breitbart London , National Security , #First Lady Melania Trump , First Son Barron Trump , international diplomacy , National Arboretum , Slovenia , tourism , White House",english,,,,,,,,,,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUUdI2T6_wmwcA1MUyje5QSXubYe8WhCDtZqYgV.ZiMs_I5vqV6oV71cFPPxsDDGduAhE0UJTyTGkZYrZQ5wCtRDPbKsgUu9STPCtLPKKe219E9syTHCc_AA--,First Lady Melania Trump Boosts Tourism in Her Home Country,,,2017-05-25T17:28:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/05/melaniat.png,0,
Jeff May,Krauthammer on Trump Middle East Trip: 'America Is Back' - Breitbart,"by Jeff Poor 24 May 2017 0 24 May, 2017 24 May, 2017 SIGN UP FOR OUR NEWSLETTER 
Wednesday on Fox News Channel’s “Special Report,” Washington Post columnist Charles Krauthammer spoke positively about President Donald Trump’s visit to the Middle East that began over the weekend. 
According to Krauthammer, Trump’s ability to unify Sunni nations against a hostile Iranian regime demonstrated that “America is back.” 
Watch: 
“I understand the theme, the three great religions, trying to tie them all together to make it look somewhat nonpolitical,” Krauthammer said. “But the real story is not the Vatican. It’s not even the Israeli trip. It is the realignment of American policy over Iran, getting the 50 Sunni nations lined up with Saudi Arabia, behind us. This is a new day in the Middle East, and it’s going to have reverberations for many years. That’s the story. It’s a new Middle East right now. America is back. That’s the story, and the consequences are going to be immense. 
Follow Jeff Poor on Twitter @jeff_poor Read More Stories About: 
Comment count on this article reflects comments made on Breitbart.com and Facebook. Visit Breitbart's Facebook Page . BREITBART CONNECT Sign Up For Our Newsletter MOST POPULAR ",english,,,,,,,,,,,http://omgili.com/ri/jHIAmI4hxg9bm_w_dC_byE8kjeeQbIOUYB_ErkDivICq1SuEKmvAyt5knG42cw4U2HF.mjJ61K8zFFyJfxBAg9VpvvmEOWSefP_LlNe8VdFWKhd8xGeDHRxEgm0esrWj,Krauthammer on Trump Middle East Trip: 'America Is Back' - Breitbart,,,2017-05-25T05:58:00.000+03:00,0,0,news,breitbart.com,US,http://media.breitbart.com/media/2017/05/CK525.jpg,0,
