1,account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
2,184096565021911,1.03506E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035057923259100,9/19/2016,"[1,0,0,0]","[1,0,0,0]",,,146,15
3,184096565021911,1035269309904628,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,1,33,34
4,184096565021911,1035305953234297,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,34,63,27
5,184096565021911,1035322636565962,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,35,170,86
6,184096565021911,1035352946562931,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,568,3188,2815
7,184096565021911,1035366579894901,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,23,28,21
8,184096565021911,1035411183223774,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,46,409,105
9,184096565021911,1035430716555154,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,7,62,64
10,184096565021911,1035451683219724,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,7,39,6
11,184096565021911,1035453279886231,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,152,278,59
12,184096565021911,1035456253219267,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,8,29,14
13,184096565021911,1035489746549251,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,,10,0
14,184096565021911,1035491416549084,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,37,507,164
15,184096565021911,1035503133214579,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,4,23,2
16,184096565021911,1035527713212121,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,10,85,29
17,184096565021911,1035532526544973,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,10,41,14
18,184096565021911,1035558749875684,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035558749875684,9/19/2016,"[1,0,0,0]","[1,0,0,0]",,3,9,3
19,184096565021911,1035572169874342,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035572169874342,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,,16,20
20,184096565021911,1035592746538951,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,15,276,74
21,184096565021911,1035595553205337,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035595553205337,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,56,300,65
22,184096565021911,1035619779869581,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035619779869581,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,64,480,130
23,184096565021911,1035627049868854,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035627049868854,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,6,33,5
24,184096565021911,1.03566E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035656723199220,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,289,674,243
25,184096565021911,1035672566530969,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035672566530969,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,2,18,11
26,184096565021911,1035679109863648,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035679109863648,9/19/2016,"[1,0,0,0]","[1,0,0,0]",,,24,7
27,184096565021911,1035684116529814,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035684116529814,9/19/2016,"[1,0,0,0]","[1,0,0,0]",,5,19,6
28,184096565021911,1.03571E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035706656527560,9/19/2016,"[1,0,0,0]","[0,1,0,0]",,30,268,177
