Title,Text
US Concludes IS Explosives Led to 100+ Civilian Deaths in March Airstrike,"US Concludes Islamic State Explosives Led to 100+ Civilian Deaths in March Airstrike share Print PENTAGON — 
A U.S. military investigation into a deadly March airstrike has found that a secondary explosion caused the deaths of more than 100 civilians in Mosul, Iraq. 
U.S. Central Command, which oversees American military operations in the Middle East, said Thursday the investigation determined that Islamic State fighters had placed “large amounts” of explosives in a building that housed civilians and then began attacking Iraqi forces from that building. 
When the coalition targeted snipers on the roof, the explosives detonated, killing at least 101 civilians sheltering in the bottom floors and four civilians in a neighboring structure. 
U.S. Central Command said Thursday “weapons and structural experts concluded, based on extensive modeling, (that) the structural damage to the building was in a different location” than where the airstrike hit and was “in excess” of what could have been caused by the single GBU-38 munition used in the March 17 strike. 
Neither the U.S.-led coalition nor Iraqi forces who called in the strike knew that civilians were sheltered in the building, Central Command said. 
""Our condolences go out to all those that were affected,"" said Maj. Gen. Joe Martin, Commanding General of the Combined Joint Forces Land Component Command in Iraq and Syria. 
The U.S. military looked at more than 700 separate video feeds covering 10 days of airstrikes in Mosul to determine the credibility of the civilian casualty reports. 
The Pentagon has called the death of civilians in Iraq's northern city of Mosul a terrible tragedy. 
""There is no military force in the world that has proven more sensitive to civilian casualties,” U.S. Secretary of Defense Jim Mattis said shortly after the strike. “We go out of our way to always do everything humanly possible to reduce the loss of life or injury among innocent people. The same cannot be said for our adversaries.” 
At the time of the strike, the Iraqi military cited evidence it said showed that Islamic State fighters placed explosives at the site. 
""All of [the building's] walls were rigged with bombs, and there is no hole or signs that it was an airstrike target,"" the Iraqi military's Joint Command said. 
U.S. officials have stressed to VOA that the U.S. military is fully capable of striking one building while leaving its surroundings unscathed."
British Social Media Celebrity Among Dead from Concert Blast,"British Social Media Celebrity Among Dead from Concert Blast share Print MANCHESTER — 
It was not just family and friends mourning Martyn Hett this week. Even Mariah Carey was shocked by his death in the Ariana Grande concert bombing. 
Carey posted a picture of Hett — one of 22 people killed in Monday night's bombing at the Manchester Arena — on Instagram wearing a T-shirt bearing her image.""Devastated to learn that one of the victims in Manchester was part of the (hash)Lambily,"" Carey wrote in the post, using the name she has given to her legion of fans. ""RIP Martyn Hett. We will cherish your memory forever. His family and all the families affected are in my thoughts and prayers."" It was a tribute that surely would have touched the 29-year-old public relations worker who listed the singer's name as his religious view on Facebook and said on Twitter that,""My life peaked when I met Mariah Carey."" Hett's irreverent sense of humor was made for social media and he embraced many different platforms, with more than 12,000 Twitter followers and a half million views on a YouTube film he posted four years ago in which he spliced together scenes featuring one of the stars of iconic Manchester-based soap opera ""Coronation Street."" The video showed fleeting scenes of Sue Nicholls, the actress who plays character Audrey Roberts, and a habit she has of saying ""Hmm"" at the end of sentences. Britain's ITV network, which airs the long-running soap affectionately known as ""Corrie,"" said on its website that it would dedicate a bench on the set to victims of the bombing.""The dedication will be planned in the coming weeks following an outpouring of affection for 29-year-old `Corrie' super-fan Martyn and all those who lost their lives and have been injured following the Manchester Arena bombing,"" ITV said. Calling Hett a super-fan was no overstatement. He had a tattoo of one of the show's best-known characters, Deirdre Barlow, inked onto his left calf in the British television show ""Tattoo Fixers."" He also appeared on another show, ""Come Dine With Me."" Hett's family could not be reached for comment Thursday, but in a statement released by Manchester police, they called him ``the icon of all our lives.''""His infectious laugh and his niche sense of humor will stay with us forever,"" the family said. Hett's sense of humor rang out from the final tweet on his Twitter feed, apparently made during Monday night's concert.""When you sneak out for a toilet break on the Macy Gray song and the entire arena had the same idea (hash)DangerousWomanTour,"" he tweeted. The managing director of Rumpus PR, where Hett worked, paid tribute to him in a statement.""Martyn loved life and I hope his lasting legacy is that people — in these dreadful times — choose to live their lives with joy not hate, just like he did,"" Paul Evans said. Related"
Attorneys: Salvadoran Colonel's Health Declining in New Jail,"Attorneys: Salvadoran Colonel's Health Declining in New Jail share Print RALEIGH, N.C. — 
Defense attorneys say medical care for a former Salvadoran colonel accused of helping to plot five killings is declining since his transfer to a new facility to await a final decision on his extradition. A lawyer for Inocente Orlando Montano Morales says in a filing that routine blood sugar checks were missed and he has had a fever and other symptoms indicating that he could have a new infection. Judge Terrence Boyle had tried to send Montano to a federal prison hospital because of concerns about his health, but the transfer wasn't possible. Instead, he was sent from a North Carolina lockup to a Virginia jail. The U.S. Marshals Service said it was following procedures for reviewing Montano's complaints but couldn't provide details. More Americas News"
"Congress, Paul Ryan Condemn Turkish Embassy Clashes","Congress, Paul Ryan Condemn Turkish Embassy Clashes share Print 
The U.S. House of Representatives Foreign Affairs Committee Thursday officially condemned the violent crackdown on protests outside the Turkish embassy in Washington last week. 
""This timely resolution sends a clear signal to the Turkish government that we will not allow any foreign government to stifle the rights of our citizens,"" the committee said in a statement following the passage of House Resolution 354, which condemned the violence against what it deemed peaceful protests. 
U.S. Speaker of the House Paul Ryan thanked the committee, echoing concerns over the incident that have been expressed by U.S. lawmakers and diplomats for days. Demonstrators lie on the ground following a brawl with Turkish security personnel near the Turkish ambassador's residence in Washington, May 17, 2017. (screengrab from VOA Turkish video) 
“The violent crackdown on peaceful protesters by Turkish security forces was completely indefensible, and the [Recep Tayyip] Erdogan government’s response was wholly inadequate,"" he said in a statement. ""I want to thank Chairman [Ed] Royce, Ranking Member [Eliot] Engel, and all members of the Foreign Affairs Committee for taking swift action on this issue.” 
The committee was expected to hold a hearing discussing the right to peaceful protest later Thursday. 
The clash broke out between Turkish security personnel and protesters outside the Turkish ambassador's residence during Erdogan's visit to Washington. 
Protesters say they were attacked by Turkish security forces as they demonstrated peacefully. Turkey blamed the clash on the demonstrators, claiming they aggressively provoked people who had gathered to see Erdogan. Related"
Peace Activists Focus on Reducing Military Spending at Counter-NATO Summit,"Peace Activists Focus on Reducing Military Spending at Counter-NATO Summit share Print BRUSSELS — 
While NATO heads of states are meeting in their newest headquarters to discuss increasing defense budget spending, leading peace activists from around the world are gathered for a counter-summit to advocate for less militarization. 
Military spending will be one of the issues topping the NATO summit agenda Thursday in Brussels. Increasing defense spending to 2 percent of GDP is a requirement for member countries, but only five of the 28 abide by this rule. U.S. President Donald Trump speaks beside NATO Secretary-General Jens Stoltenberg at the start of the NATO summit at their new headquarters in Brussels, Belgium, May 25, 2017. 
President Donald Trump has been vocal since his campaign that other member states need to meet the budget obligation. Elsewhere in Brussels, more than 100 international peace activists are holding their own summit, focusing not only on less military spending, but on completely phasing out NATO over a number of years. Police detain a demonstrator during a protest against a NATO summit in Brussels, Belgium, May 25, 2017. 
Ingeborg Breines of International Peace Bureau says the arguments against NATO are economic, social and environmental. “We think that the costs are so high for the military that we don’t have the means to cater to the means of people. The effects of societies of war are that they migrate by need. And ecologically, we misuse national resources such as minerals and energy and dig oils to keep the military machine going.” The U.S. president had called NATO “obsolete” during his campaign, but said in April that NATO has been the “bulwark of international peace and security.” FILE - Jean-Luc Melenchon attends a television debate at French private TV channels BFM TV and CNews, in La Plaine-Saint-Denis, outside Paris, April 4, 2017. 
Left-wing French politician Jean-Luc Mélenchon, who wanted France to leave NATO, received close to 20 percent of the vote during the first round of presidential elections there a month ago; a study by the U.S.-based Pew Research Center, however, shows citizens of most NATO countries are in favor of the military alliance. Ann Wright is a retired U.S. army colonel and former diplomat. She resigned over the Iraq war in 2003 and is now part of Veterans for Peace. Wright is worried about the militarization of U.S. foreign policy, although she admits it is unlikely NATO will ever disappear. “If you look at the reduction in militarization of the world, we have been a failure. But there’s another way to look at this. I think it’s totally possible and there should be a huge reduction in the amount of money that’s spent by each of the nations. The increase that has happened since the annexation of Crimea by Russia is extraordinary.” The day before the summit, a large demonstration was held in Brussels against President Trump's visit, but many signs at the protest also were critical of NATO. Protesters carry effigies of US President Donald Trump and Belgian PM Charles Michel during a demonstration in the center of Brussels, May 24, 2017. 
The outcomes of the counter-summit and how to slowly phase out budgets for NATO are not shared with the heads of states as there is no interaction between the two, according to organizer Ludo De Brabander. “Even if we would like to, it would be difficult. I don’t think these kinds of summits take us very serious. Because we have messages that are really very much opposed to what their aims are. But we organize this because it’s very important to inform the population,"" said De Brabander. ""If we do a demonstration, it’s a very public event. And for us its very important to tell people what NATO really is. And that it’s not in the interest of the population to have an organization such as NATO.” The counter-summits have been organized since 2009, always coinciding with the bloc's summits. With NATO having just agreed to increase support to the U.S.-led coalition against Islamic State, it’s likely that military budgets are staying even or increasing. NATO accounts for more than half of all money that is spent world wide on military budgets. And the new headquarters, inaugurated at the summit on Thursday, was reported to have cost over $1 billion. Related"
US Concludes IS Explosives Led to 100+ Civilian Deaths in March Airstrike,"PENTAGON — A U.S. military investigation into a deadly March airstrike has found that a secondary explosion caused the deaths of more than 100 civilians in Mosul, Iraq.
U.S. Central Command, which oversees American military operations in the Middle East, said Thursday the investigation determined that Islamic State fighters had placed “large amounts” of explosives in a building that housed civilians and then began attacking Iraqi forces from that building.
When the coalition targeted snipers on the roof, the explosives detonated, killing at least 101 civilians sheltering in the bottom floors and four civilians in a neighboring structure.
U.S. Central Command said Thursday “weapons and structural experts concluded, based on extensive modeling, (that) the structural damage to the building was in a different location” than where the airstrike hit and was “in excess” of what could have been caused by the single GBU-38 munition used in the March 17 strike.
Neither the U.S.-led coalition nor Iraqi forces who called in the strike knew that civilians were sheltered in the building, Central Command said.
""Our condolences go out to all those that were affected,"" said Maj. Gen. Joe Martin, Commanding General of the Combined Joint Forces Land Component Command in Iraq and Syria.
The U.S. military looked at more than 700 separate video feeds covering 10 days of airstrikes in Mosul to determine the credibility of the civilian casualty reports.
The Pentagon has called the death of civilians in Iraq's northern city of Mosul a terrible tragedy.
""There is no military force in the world that has proven more sensitive to civilian casualties,” U.S. Secretary of Defense Jim Mattis said shortly after the strike. “We go out of our way to always do everything humanly possible to reduce the loss of life or injury among innocent people. The same cannot be said for our adversaries.”
At the time of the strike, the Iraqi military cited evidence it said showed that Islamic State fighters placed explosives at the site.
""All of [the building's] walls were rigged with bombs, and there is no hole or signs that it was an airstrike target,"" the Iraqi military's Joint Command said.
U.S. officials have stressed to VOA that the U.S. military is fully capable of striking one building while leaving its surroundings unscathed."
Peace Activists Focus on Reducing Military Spending at Counter-NATO Summit,"Peace Activists Focus on Reducing Military Spending at Counter-NATO Summit share Print BRUSSELS — 
While NATO heads of states are meeting in their newest headquarters to discuss increasing defense budget spending, leading peace activists from around the world are gathered for a counter-summit to advocate for less militarization. 
Military spending will be one of the issues topping the NATO summit agenda Thursday in Brussels. Increasing defense spending to 2 percent of GDP is a requirement for member countries, but only five of the 28 abide by this rule. U.S. President Donald Trump speaks beside NATO Secretary-General Jens Stoltenberg at the start of the NATO summit at their new headquarters in Brussels, Belgium, May 25, 2017. 
President Donald Trump has been vocal since his campaign that other member states need to meet the budget obligation. Elsewhere in Brussels, more than 100 international peace activists are holding their own summit, focusing not only on less military spending, but on completely phasing out NATO over a number of years. Police detain a demonstrator during a protest against a NATO summit in Brussels, Belgium, May 25, 2017. 
Ingeborg Breines of International Peace Bureau says the arguments against NATO are economic, social and environmental. “We think that the costs are so high for the military that we don’t have the means to cater to the means of people. The effects of societies of war are that they migrate by need. And ecologically, we misuse national resources such as minerals and energy and dig oils to keep the military machine going.” The U.S. president had called NATO “obsolete” during his campaign, but said in April that NATO has been the “bulwark of international peace and security.” FILE - Jean-Luc Melenchon attends a television debate at French private TV channels BFM TV and CNews, in La Plaine-Saint-Denis, outside Paris, April 4, 2017. 
Left-wing French politician Jean-Luc Mélenchon, who wanted France to leave NATO, received close to 20 percent of the vote during the first round of presidential elections there a month ago; a study by the U.S.-based Pew Research Center, however, shows citizens of most NATO countries are in favor of the military alliance. Ann Wright is a retired U.S. army colonel and former diplomat. She resigned over the Iraq war in 2003 and is now part of Veterans for Peace. Wright is worried about the militarization of U.S. foreign policy, although she admits it is unlikely NATO will ever disappear. “If you look at the reduction in militarization of the world, we have been a failure. But there’s another way to look at this. I think it’s totally possible and there should be a huge reduction in the amount of money that’s spent by each of the nations. The increase that has happened since the annexation of Crimea by Russia is extraordinary.” The day before the summit, a large demonstration was held in Brussels against President Trump's visit, but many signs at the protest also were critical of NATO. Protesters carry effigies of US President Donald Trump and Belgian PM Charles Michel during a demonstration in the center of Brussels, May 24, 2017. 
The outcomes of the counter-summit and how to slowly phase out budgets for NATO are not shared with the heads of states as there is no interaction between the two, according to organizer Ludo De Brabander. “Even if we would like to, it would be difficult. I don’t think these kinds of summits take us very serious. Because we have messages that are really very much opposed to what their aims are. But we organize this because it’s very important to inform the population,"" said De Brabander. ""If we do a demonstration, it’s a very public event. And for us its very important to tell people what NATO really is. And that it’s not in the interest of the population to have an organization such as NATO.” The counter-summits have been organized since 2009, always coinciding with the bloc's summits. With NATO having just agreed to increase support to the U.S.-led coalition against Islamic State, it’s likely that military budgets are staying even or increasing. NATO accounts for more than half of all money that is spent world wide on military budgets. And the new headquarters, inaugurated at the summit on Thursday, was reported to have cost over $1 billion. Related"
British Social Media Celebrity Among Dead from Concert Blast,"MANCHESTER — It was not just family and friends mourning Martyn Hett this week. Even Mariah Carey was shocked by his death in the Ariana Grande concert bombing.
Carey posted a picture of Hett — one of 22 people killed in Monday night's bombing at the Manchester Arena — on Instagram wearing a T-shirt bearing her image.
""Devastated to learn that one of the victims in Manchester was part of the (hash)Lambily,"" Carey wrote in the post, using the name she has given to her legion of fans. ""RIP Martyn Hett. We will cherish your memory forever. His family and all the families affected are in my thoughts and prayers.""
It was a tribute that surely would have touched the 29-year-old public relations worker who listed the singer's name as his religious view on Facebook and said on Twitter that,""My life peaked when I met Mariah Carey.""
Hett's irreverent sense of humor was made for social media and he embraced many different platforms, with more than 12,000 Twitter followers and a half million views on a YouTube film he posted four years ago in which he spliced together scenes featuring one of the stars of iconic Manchester-based soap opera ""Coronation Street.""
The video showed fleeting scenes of Sue Nicholls, the actress who plays character Audrey Roberts, and a habit she has of saying ""Hmm"" at the end of sentences.
Britain's ITV network, which airs the long-running soap affectionately known as ""Corrie,"" said on its website that it would dedicate a bench on the set to victims of the bombing.
""The dedication will be planned in the coming weeks following an outpouring of affection for 29-year-old `Corrie' super-fan Martyn and all those who lost their lives and have been injured following the Manchester Arena bombing,"" ITV said.
Calling Hett a super-fan was no overstatement. He had a tattoo of one of the show's best-known characters, Deirdre Barlow, inked onto his left calf in the British television show ""Tattoo Fixers."" He also appeared on another show, ""Come Dine With Me.""
Hett's family could not be reached for comment Thursday, but in a statement released by Manchester police, they called him ``the icon of all our lives.''
""His infectious laugh and his niche sense of humor will stay with us forever,"" the family said.
Hett's sense of humor rang out from the final tweet on his Twitter feed, apparently made during Monday night's concert.
""When you sneak out for a toilet break on the Macy Gray song and the entire arena had the same idea (hash)DangerousWomanTour,"" he tweeted.
The managing director of Rumpus PR, where Hett worked, paid tribute to him in a statement.
""Martyn loved life and I hope his lasting legacy is that people — in these dreadful times — choose to live their lives with joy not hate, just like he did,"" Paul Evans said."
Appeals Court Upholds Stay on Trump Travel Order,"U.S. Attorney General Jeff Sessions said Thursday that he would ask the Supreme Court to review an appeals court ruling that blocks President Donald Trump's executive order limiting travel to the U.S. from six predominantly Muslim countries.
Sessions issued a statement saying, ""President Trump's executive order is well within his lawful authority to keep the nation safe.""
""The Department of Justice strongly disagrees with the decision of the divided court, which blocks the president's efforts to strengthen this country's national security. ... The president is not required to admit people from countries that sponsor or shelter terrorism, until he determines that they can be properly vetted and do not pose a security risk to the United States,"" the attorney general said.
Sessions was responding to a ruling earlier in the day by the Appeals in Richmond, Virginia, in which it declined to reinstate the three-month ban on most travelers from the six nations.
The court said the executive order did amount to a Muslim ban. ""Laid bare, this executive order is no more than what the president promised before and after his election: naked invidious discrimination against Muslims,"" the judges said in their 205-page ruling.
A majority of the panel of 13 judges ruling in the case cited Trump's tweets, television interviews and statements posted on his campaign website as evidence of his intent.
Three judges dissented on the ground that the executive order did not mention religion.
""Far from containing the sort of religious advocacy or disparagement that can violate the Establishment Clause, the order contains no reference to religion whatsoever. Nor is there any trace of discriminatory animus,"" the dissenting judges wrote.
They also criticized the use of campaign material as evidence: ""If a court, dredging through the myriad remarks of a campaign, fails to find material to produce the desired outcome, what stops it from probing deeper to find statements from a previous campaign, or from a previous business conference, or from college?""
In March, a federal judge in Maryland blocked the travel ban, which itself was a revised version of one issued in January that was tweaked after encountering legal roadblocks.
The appeals court majority did not think the second version was an improvement.
""Significantly, in revising the order, the executive branch did not attempt to walk away from its previous discriminatory order. Instead, it simply attempted to effectuate the same discrimination through a slightly different vehicle — the proverbial wolf in sheep's clothing.""
The Trump administration was given 90 days to appeal.
One of the plaintiffs in the suit, the International Refugee Assistance Project, vowed to fight ""as long as it takes."" IRAP's director, Becca Heller, said: ""Once again, the courts have confirmed that the Muslim ban is discriminatory and harmful. The president cannot simply slap the words 'national security' on an unconstitutional policy and get away with it.""
A part of the executive order stopping refugee arrivals for 120 days was not included in Thursday's ruling. But a second appeals court, the 9th Circuit in San Francisco, is reviewing the travel order on a wider basis, including the ban on refugees.
The original stay in the 9th Circuit case was issued by a judge in Hawaii.
VOA's Victoria Macchi contributed to this report."
Senate Panel Backs New Sanctions on Iran,"CAPITOL HILL — A Senate panel has overwhelmingly approved new U.S. sanctions targeting Iran's support for international terrorism and its ballistic missile program, the first move to punish Tehran since a landmark nuclear accord went into effect.
Thursday's 18-3 vote by the Senate Foreign Relations Committee came days after President Donald Trump pledged common cause with Israel and Sunni Arab states to counter Iranian influence in the region.
""The bill passed overwhelmingly today [in committee] and I believe will pass overwhelmingly on the Senate floor,"" said the committee's chairman, Republican Senator Bob Corker of Tennessee.
""If you think about what just happened with the [president's] trip to Saudi Arabia, this begins to coordinate a Middle Eastern strategy that counters Iran's aggression in the region. There is a move to push back against the many nefarious activities that Iran has been engaged in,"" Corker added.
Eight of the committee's 10 Democrats backed the bill, including Chris Coons of Delaware, who, in 2015, supported the Joint Comprehensive Plan of Action, also known as the Iran nuclear deal.
""This bill shows a continuing determination by the American Congress to stand up to Iran's continued, even expanded malign activities around the world: their ongoing ballistic missile launches, their support for terrorism, their human rights violations,"" Coons said. ""All of these are areas that are specifically called out in the JCPOA as areas where it is appropriate and possible for the United States, if necessary, to impose additional sanctions.""
Ahead of the vote, a central figure in nuclear negotiations with Iran, former secretary of state John Kerry, took to Twitter to warn against new sanctions, writing: ""There are many tools to up the pressure already in place and at our disposal. We need to weigh/consider risk to JCPOA.""
That concern was shared by the bill's opponents in the Senate, including Democrat Tom Udall of New Mexico.
""Let's remember, the Iranians have just had an election, re-elected [President Hassan] Rouhani, who was a supporter of this agreement and he was re-elected by a big margin,"" Udall said. ""So the first move of our government with this legislation is going to be to threaten the [nuclear] agreement. I think that's a very bad posture for us.""
Such concerns are unwarranted, according to backers of the sanctions.
""We know that this in no way touches the nuclear deal,"" Corker said.
""Tehran can argue all they want that these areas for additional sanctions are not permitted under the JCPOA,"" Coons said. ""The plain text of the agreement allows additional sanctions in these three areas [support for terrorism, missile development, and human rights].""
The committee's lone Republican to oppose bill, Kentucky Senator Rand Paul, argued that punishing Iranian missile development makes no sense after President Trump inked a major arms deal with Iran's arch-rival, Saudi Arabia.
""If we want Iran to stop or lessen their development of ballistic weapons, we need to address the cause: the arms race in the Middle East,"" Paul said.
Between Trump's actions and the sanctions bill, no one is disputing that a shift has occurred away from the former Obama administration's handling of Iran.
""Some chose to believe that the regime in Tehran would respond to the JCPOA and the opportunity it gave the Iranian government to change their behavior, to engage with the West, to demonstrate that it wants to become part of the community of nations,"" Coons said. ""In the last year their [Iran's] actions have proven the opposite, and I think it's now appropriate for us to take these steps [impose sanctions].""
Many will be watching Iran's reaction if the sanctions become law. Asked by VOA if he is concerned about how the bill will be viewed in Tehran, Corker shrugged.
""Are you talking about the people, [or] are you talking about this revolutionary leadership that is carrying out terrorism throughout the Middle East?"" Corker responded. ""I can't answer for both."""
